title,year,duration,rating,movie_url
Hachi: A Dog's Tale,2009,1h 33min,8.1,https://www.imdb.com/title/tt1028532/
Mary and Max.,2009,1h 32min,8.1,https://www.imdb.com/title/tt0978762/
Harry Potter and the Deathly Hallows: Part 2,2011,2h 10min,8.1,https://www.imdb.com/title/tt1201607/
Gran Torino,2008,1h 56min,8.1,https://www.imdb.com/title/tt1205489/
Prisoners,2013,2h 33min,8.1,https://www.imdb.com/title/tt1392214/
Mad Max: Fury Road,2015,2h,8.1,https://www.imdb.com/title/tt1392190/
Warrior,2011,2h 20min,8.1,https://www.imdb.com/title/tt1291584/
12 Years a Slave,2013,2h 14min,8.1,https://www.imdb.com/title/tt2024544/
Rush,2013,2h 3min,8.1,https://www.imdb.com/title/tt1979320/
Ford v Ferrari,2019,2h 32min,8.1,https://www.imdb.com/title/tt1950186/
Spotlight,2015,2h 9min,8.1,https://www.imdb.com/title/tt1895587/
Relatos salvajes,2014,2h 2min,8.1,https://www.imdb.com/title/tt3011894/
The Grand Budapest Hotel,2014,1h 39min,8.1,https://www.imdb.com/title/tt2278388/
Inside Out,2015,1h 35min,8.1,https://www.imdb.com/title/tt2096673/
Room,2015,1h 58min,8.1,https://www.imdb.com/title/tt3170832/
Logan,2017,2h 17min,8.1,https://www.imdb.com/title/tt3315342/
Kill Bill: Vol. 1,2003,1h 51min,8.1,https://www.imdb.com/title/tt0266697/
The General,1926,1h 7min,8.1,https://www.imdb.com/title/tt0017925/
Ben-Hur,1959,3h 32min,8.1,https://www.imdb.com/title/tt0052618/
It Happened One Night,1934,1h 45min,8.1,https://www.imdb.com/title/tt0025316/
La passion de Jeanne d'Arc,1928,1h 50min,8.1,https://www.imdb.com/title/tt0019254/
Gone with the Wind,1939,3h 58min,8.1,https://www.imdb.com/title/tt0031381/
Rebecca,1940,2h 10min,8.1,https://www.imdb.com/title/tt0032976/
Le salaire de la peur,1953,2h 11min,8.1,https://www.imdb.com/title/tt0046268/
Sunrise: A Song of Two Humans,1927,1h 34min,8.1,https://www.imdb.com/title/tt0018455/
The Third Man,1949,1h 44min,8.1,https://www.imdb.com/title/tt0041959/
Du rififi chez les hommes,1955,1h 58min,8.1,https://www.imdb.com/title/tt0048021/
Mr. Smith Goes to Washington,1939,2h 9min,8.1,https://www.imdb.com/title/tt0031679/
On the Waterfront,1954,1h 48min,8.1,https://www.imdb.com/title/tt0047296/
The Bridge on the River Kwai,1957,2h 41min,8.1,https://www.imdb.com/title/tt0050212/
Les quatre cents coups,1959,1h 39min,8.1,https://www.imdb.com/title/tt0053198/
La battaglia di Algeri,1966,2h 1min,8.1,https://www.imdb.com/title/tt0058946/
Andrey Rublev,1966,3h 25min,8.1,https://www.imdb.com/title/tt0060107/
Persona,1966,1h 25min,8.1,https://www.imdb.com/title/tt0060827/
Cool Hand Luke,1967,2h 7min,8.1,https://www.imdb.com/title/tt0061512/
Barry Lyndon,1975,3h 5min,8.1,https://www.imdb.com/title/tt0072684/
Network,1976,2h 1min,8.1,https://www.imdb.com/title/tt0074958/
The Deer Hunter,1978,3h 3min,8.1,https://www.imdb.com/title/tt0077416/
Rocky,1976,2h,8.1,https://www.imdb.com/title/tt0075148/
Fanny och Alexander,1982,3h 8min,8.1,https://www.imdb.com/title/tt0083922/
Stalker,1979,2h 42min,8.1,https://www.imdb.com/title/tt0079944/
The Elephant Man,1980,2h 4min,8.1,https://www.imdb.com/title/tt0080678/
Blade Runner,1982,1h 57min,8.1,https://www.imdb.com/title/tt0083658/
Life of Brian,1979,1h 34min,8.1,https://www.imdb.com/title/tt0079470/
The Thing,1982,1h 49min,8.1,https://www.imdb.com/title/tt0084787/
Platoon,1986,2h,8.1,https://www.imdb.com/title/tt0091763/
Kaze no tani no Naushika,1984,,8.1,https://www.imdb.com/title/tt0087544/
Stand by Me,1986,1h 29min,8.1,https://www.imdb.com/title/tt0092005/
In the Name of the Father,1993,2h 13min,8.1,https://www.imdb.com/title/tt0107207/
The Princess Bride,1987,1h 38min,8.1,https://www.imdb.com/title/tt0093779/
Trois couleurs: Rouge,1994,1h 39min,8.1,https://www.imdb.com/title/tt0111495/
Jurassic Park,1993,2h 7min,8.1,https://www.imdb.com/title/tt0107290/
Dead Poets Society,1989,2h 8min,8.1,https://www.imdb.com/title/tt0097165/
Before Sunrise,1995,1h 41min,8.1,https://www.imdb.com/title/tt0112471/
La haine,1995,1h 38min,8.1,https://www.imdb.com/title/tt0113247/
Fargo,1996,1h 38min,8.1,https://www.imdb.com/title/tt0116282/
Trainspotting,1996,1h 33min,8.1,https://www.imdb.com/title/tt0117951/
Fa yeung nin wah,2000,1h 38min,8.1,https://www.imdb.com/title/tt0118694/
The Truman Show,1998,1h 43min,8.1,https://www.imdb.com/title/tt0120382/
The Sixth Sense,1999,1h 47min,8.1,https://www.imdb.com/title/tt0167404/
The Big Lebowski,1998,1h 57min,8.1,https://www.imdb.com/title/tt0118715/
Amores perros,2000,2h 34min,8.1,https://www.imdb.com/title/tt0245712/
"Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni",1997,1h 27min,8.1,https://www.imdb.com/title/tt0169858/
Finding Nemo,2003,1h 40min,8.1,https://www.imdb.com/title/tt0266543/
Sherlock Jr.,1924,45min,8.2,https://www.imdb.com/title/tt0015324/
"Three Billboards Outside Ebbing, Missouri",2017,1h 55min,8.1,https://www.imdb.com/title/tt5027774/
To Be or Not to Be,1942,1h 39min,8.2,https://www.imdb.com/title/tt0035446/
Tôkyô monogatari,1953,2h 16min,8.2,https://www.imdb.com/title/tt0046438/
Dial M for Murder,1954,1h 45min,8.2,https://www.imdb.com/title/tt0046912/
Rashômon,1950,1h 28min,8.2,https://www.imdb.com/title/tt0042876/
The Gold Rush,1925,1h 35min,8.2,https://www.imdb.com/title/tt0015864/
Ah-ga-ssi,2016,2h 25min,8.1,https://www.imdb.com/title/tt4016934/
"Monsters, Inc.",2001,1h 32min,8.1,https://www.imdb.com/title/tt0198781/
Smultronstället,1957,1h 31min,8.2,https://www.imdb.com/title/tt0050986/
Some Like It Hot,1959,2h 1min,8.2,https://www.imdb.com/title/tt0053291/
Catch Me If You Can,2002,2h 21min,8.1,https://www.imdb.com/title/tt0264464/
Det sjunde inseglet,1957,1h 36min,8.2,https://www.imdb.com/title/tt0050976/
Judgment at Nuremberg,1961,2h 59min,8.2,https://www.imdb.com/title/tt0055031/
Chinatown,1974,2h 10min,8.2,https://www.imdb.com/title/tt0071315/
Yôjinbô,1961,1h 50min,8.2,https://www.imdb.com/title/tt0055630/
Per qualche dollaro in più,1965,2h 12min,8.2,https://www.imdb.com/title/tt0059578/
The Great Escape,1963,2h 52min,8.2,https://www.imdb.com/title/tt0057115/
Höstsonaten,1978,1h 39min,8.2,https://www.imdb.com/title/tt0077711/
Monty Python and the Holy Grail,1975,1h 31min,8.2,https://www.imdb.com/title/tt0071853/
Raging Bull,1980,2h 9min,8.2,https://www.imdb.com/title/tt0081398/
Shutter Island,2010,2h 18min,8.2,https://www.imdb.com/title/tt1130884/
Up,2009,1h 36min,8.2,https://www.imdb.com/title/tt1049413/
Ran,1985,2h 42min,8.2,https://www.imdb.com/title/tt0089881/
Koe no katachi,2016,2h 10min,8.2,https://www.imdb.com/title/tt5323662/
Klaus,2019,1h 36min,8.2,https://www.imdb.com/title/tt4729430/
Gangs of Wasseypur,2012,5h 21min,8.2,https://www.imdb.com/title/tt1954470/
El secreto de sus ojos,2009,2h 9min,8.2,https://www.imdb.com/title/tt1305806/
Andhadhun,2018,2h 19min,8.2,https://www.imdb.com/title/tt8108198/
Die Hard,1988,2h 12min,8.2,https://www.imdb.com/title/tt0095016/
Green Book,2018,2h 10min,8.2,https://www.imdb.com/title/tt6966692/
The Kid,1921,1h 8min,8.3,https://www.imdb.com/title/tt0012349/
Ladri di biciclette,1948,1h 29min,8.3,https://www.imdb.com/title/tt0040522/
Metropolis,1927,2h 33min,8.3,https://www.imdb.com/title/tt0017136/
Double Indemnity,1944,1h 47min,8.3,https://www.imdb.com/title/tt0036775/
M - Eine Stadt sucht einen Mörder,1931,1h 57min,8.3,https://www.imdb.com/title/tt0022100/
Ikiru,1952,2h 23min,8.3,https://www.imdb.com/title/tt0044741/
North by Northwest,1959,2h 16min,8.3,https://www.imdb.com/title/tt0053125/
Vertigo,1958,2h 8min,8.3,https://www.imdb.com/title/tt0052357/
Singin' in the Rain,1952,1h 43min,8.3,https://www.imdb.com/title/tt0045152/
To Kill a Mockingbird,1962,2h 9min,8.3,https://www.imdb.com/title/tt0056592/
The Apartment,1960,2h 5min,8.3,https://www.imdb.com/title/tt0053604/
Lawrence of Arabia,1962,3h 48min,8.3,https://www.imdb.com/title/tt0056172/
2001: A Space Odyssey,1968,2h 29min,8.3,https://www.imdb.com/title/tt0062622/
A Clockwork Orange,1971,2h 16min,8.3,https://www.imdb.com/title/tt0066921/
Star Wars: Episode VI - Return of the Jedi,1983,2h 11min,8.3,https://www.imdb.com/title/tt0086190/
Das Boot,1981,,8.3,https://www.imdb.com/title/tt0082096/
The Sting,1973,2h 9min,8.3,https://www.imdb.com/title/tt0070735/
Scarface,1983,2h 50min,8.3,https://www.imdb.com/title/tt0086250/
Amadeus,1984,2h 40min,8.3,https://www.imdb.com/title/tt0086879/
Aliens,1986,2h 17min,8.3,https://www.imdb.com/title/tt0090605/
Taxi Driver,1976,1h 54min,8.3,https://www.imdb.com/title/tt0075314/
Full Metal Jacket,1987,1h 56min,8.3,https://www.imdb.com/title/tt0093058/
Reservoir Dogs,1992,1h 39min,8.3,https://www.imdb.com/title/tt0105236/
Braveheart,1995,2h 58min,8.3,https://www.imdb.com/title/tt0112573/
Tumbbad,2018,1h 44min,8.3,https://www.imdb.com/title/tt8239946/
1917,2019,1h 59min,8.3,https://www.imdb.com/title/tt8579674/
Drishyam,2013,2h 40min,8.3,https://www.imdb.com/title/tt3417422/
The Great Dictator,1940,2h 5min,8.4,https://www.imdb.com/title/tt0032553/
Sunset Blvd.,1950,1h 50min,8.4,https://www.imdb.com/title/tt0043014/
Paths of Glory,1957,1h 28min,8.4,https://www.imdb.com/title/tt0050825/
Witness for the Prosecution,1957,1h 56min,8.4,https://www.imdb.com/title/tt0051201/
Tengoku to jigoku,1963,2h 23min,8.4,https://www.imdb.com/title/tt0057565/
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,1h 35min,8.4,https://www.imdb.com/title/tt0057012/
Alien,1979,1h 57min,8.4,https://www.imdb.com/title/tt0078748/
Apocalypse Now,1979,2h 27min,8.4,https://www.imdb.com/title/tt0078788/
The Shining,1980,2h 26min,8.4,https://www.imdb.com/title/tt0081505/
Raiders of the Lost Ark,1981,1h 55min,8.4,https://www.imdb.com/title/tt0082971/
Once Upon a Time in America,1984,3h 49min,8.4,https://www.imdb.com/title/tt0087843/
Mononoke-hime,1997,2h 14min,8.4,https://www.imdb.com/title/tt0119698/
Oldeuboi,2003,2h,8.4,https://www.imdb.com/title/tt0364569/
Memento,2000,1h 53min,8.4,https://www.imdb.com/title/tt0209144/
WALL·E,2008,1h 38min,8.4,https://www.imdb.com/title/tt0910970/
Das Leben der Anderen,2006,2h 17min,8.4,https://www.imdb.com/title/tt0405094/
Taare Zameen Par,2007,2h 45min,8.4,https://www.imdb.com/title/tt0986264/
The Dark Knight Rises,2012,2h 44min,8.4,https://www.imdb.com/title/tt1345836/
3 Idiots,2009,2h 50min,8.4,https://www.imdb.com/title/tt1187043/
Coco,2017,1h 45min,8.4,https://www.imdb.com/title/tt2380307/
Avengers: Infinity War,2018,2h 29min,8.4,https://www.imdb.com/title/tt4154756/
Avengers: Endgame,2019,3h 1min,8.4,https://www.imdb.com/title/tt4154796/
Dangal,2016,2h 41min,8.4,https://www.imdb.com/title/tt5074352/
Kimi no na wa.,2016,1h 46min,8.4,https://www.imdb.com/title/tt5311514/
Django Unchained,2012,2h 45min,8.4,https://www.imdb.com/title/tt1853728/
Joker,2019,2h 2min,8.4,https://www.imdb.com/title/tt7286456/
Spider-Man: Into the Spider-Verse,2018,1h 57min,8.4,https://www.imdb.com/title/tt4633694/
City Lights,1931,1h 27min,8.5,https://www.imdb.com/title/tt0021749/
Modern Times,1936,1h 27min,8.5,https://www.imdb.com/title/tt0027977/
Casablanca,1942,1h 42min,8.5,https://www.imdb.com/title/tt0034583/
Hamilton,2020,2h 40min,8.4,https://www.imdb.com/title/tt8503618/
Capharnaüm,2018,2h 6min,8.4,https://www.imdb.com/title/tt8267604/
Intouchables,2011,1h 52min,8.5,https://www.imdb.com/title/tt1675434/
"Il buono, il brutto, il cattivo",1966,2h 41min,8.8,https://www.imdb.com/title/tt0060196/
Star Wars: Episode V - The Empire Strikes Back,1980,2h 4min,8.7,https://www.imdb.com/title/tt0080684/
The Matrix,1999,2h 16min,8.7,https://www.imdb.com/title/tt0133093/
The Lord of the Rings: The Two Towers,2002,2h 59min,8.7,https://www.imdb.com/title/tt0167261/
Whiplash,2014,1h 46min,8.5,https://www.imdb.com/title/tt2582802/
Forrest Gump,1994,2h 22min,8.8,https://www.imdb.com/title/tt0109830/
Goodfellas,1990,2h 26min,8.7,https://www.imdb.com/title/tt0099685/
Fight Club,1999,2h 19min,8.8,https://www.imdb.com/title/tt0137523/
The Lord of the Rings: The Fellowship of the Ring,2001,2h 58min,8.8,https://www.imdb.com/title/tt0120737/
Schindler's List,1993,3h 15min,8.9,https://www.imdb.com/title/tt0108052/
Inception,2010,2h 28min,8.8,https://www.imdb.com/title/tt1375666/
12 Angry Men,1957,1h 36min,9.0,https://www.imdb.com/title/tt0050083/
Pulp Fiction,1994,2h 34min,8.9,https://www.imdb.com/title/tt0110912/
The Lord of the Rings: The Return of the King,2003,3h 21min,8.9,https://www.imdb.com/title/tt0167260/
The Dark Knight,2008,2h 32min,9.0,https://www.imdb.com/title/tt0468569/
The Godfather,1972,2h 55min,9.2,https://www.imdb.com/title/tt0068646/
The Godfather: Part II,1974,3h 22min,9.0,https://www.imdb.com/title/tt0071562/
Idi i smotri,1985,2h 22min,8.3,https://www.imdb.com/title/tt0091251/
